SMS,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,neutral
Sir  asalamualaikum... have u recieved any mail regarding duties.. plz forward asap. Thank you,0,0,0,0,0,0,0,0,0,0,0,1
Ok subha bta dai ya abi aja bhair mai ata hun,0,0,0,0,0,0,0,0,0,0,0,1
Aoa. Masjid bana rha hun agr tameer e masjid me ksi ny participate krna hai to welcome..,0,0,0,0,0,0,0,0,0,0,0,1
Mt puchain..mane amna ko to result nae btaya cox wo shadi pe ja re ha to awein e mood khrb hoga...sir ne C de dia dono ko...,0,0,0,0,0,0,0,0,0,0,0,1
I was a lil busy... bht saray guest though kab say I was waitin for 18th :( sorry for being late,0,0,0,0,0,0,0,0,0,0,0,1
Mjay hd say Zyada guasa ha tm pay agay say dant nikal rhi ho tm,0,0,0,0,0,0,0,0,0,0,0,1
Highest gpa  is baar b ampere ka hi ha 3.89 wesy farwa ka b ho sakta ha us ka mujy pta nai  ,0,0,0,0,0,0,0,0,0,0,0,1
Aho . Me main mrkt aya hua ta agr jaldi fre hna to ml lete he,0,0,0,0,0,0,0,0,0,0,0,1
"Acha. Chalo phir rest kro subah subah q jaag rhi o :P mene ek surprise dena th chalo kl sahi ;) rest kro, mje khud flu ho rha h :|",0,0,0,0,0,0,0,0,0,0,0,1
"Oye me to bhul e gae thi wo to me ne b dekhni e! Agr hmari cabel a rae hui to phr me larr larr k dekh e ln gi!,",0,0,0,0,0,0,0,0,0,0,0,1
Mein b i2c mein..... Acha tm uol ja rahe ho..... Mjhe eik larki ka pta krwana tha..... Can u plz tell me the info.... Lakn please keep it confidential plz,0,0,0,0,0,0,0,0,0,0,0,1
Mohsin! Aaj Paper Thora Late Hone Ki Wja Se Me Aaj Thora Late Nikalun Ga Agar Tumne Jaldi Jana Ho Ga To Chale Jana.,0,0,0,0,0,0,0,0,0,0,0,1
Khairiat madm kahan ghaib o??? Suba msg kro to raat ko rply krti o! Itni kn si masrufiat e??? :-P ,0,0,0,0,0,0,0,0,0,0,0,1
Yr subhO utha ma tO barish bhtt hO rahi the..phely wait kia but phr tez hO gai tht's y na ja nai saka,0,1,0,0,0,0,0,0,0,0,0,0
Haan bhj rai hu. Dilawar hae pas?,0,1,0,0,0,0,0,0,0,0,0,0
Aoa hru?aj chuti pay hain phir aap?Faiza saima kanwal is asking k un ki numerical analysis ki book ap k pas hai?,0,1,0,0,0,0,0,0,0,0,1,0
"Yara mery doston main sy koi b halshuda past papers use nai krta WO b English k,,,",0,1,0,0,0,0,0,0,0,0,0,0
Amra k rishte wale ayn han..sahe ha sb :),0,1,0,0,0,0,0,0,0,0,0,0
Ohhh saii thn may b dewarani any se khuch relaxation ho jae :) ,0,0,1,0,0,0,0,0,0,0,0,0
"chal yar tang maat kar me sonay laga hn gud nite ,",0,0,1,0,0,0,0,0,0,0,0,0
Hayeeee krwa ly jaldii sy mera shadi functn atend krny ka dil kr rha hy :p,0,0,1,0,0,0,0,0,0,0,0,0
"Ch0tay bhai m0bile ka kya scene ha mjhe btao, mjh se pasay kharch huway ja rahe han",0,0,1,0,0,0,0,0,0,0,0,0
Bhai 680 tw mere hai naw 858 mere tw nhe hai naw,0,0,1,0,0,0,0,0,0,0,0,0
"Aisa kro acha sa kch tm log khd e leti ana,",0,0,1,0,1,0,0,0,0,0,0,0
ahan...wo ewe chakr lgany gy thy..or malik ko sham ka kaha ha ,0,0,0,1,0,0,0,0,0,0,0,0
Dude why you keep losing your contacts?,0,0,0,1,0,0,0,0,0,0,0,0
bd m snd krti plz mje ready ho k uni jna,0,0,0,1,0,0,1,0,0,0,0,0
Seher mujy bulany ao kici bahany se,0,0,0,1,0,0,0,0,0,0,0,0
In Sha Allah zror aon ge,0,0,0,1,0,0,0,0,0,0,0,0
Wait ma uni wapis a raha ho puhanch kr btata ho,0,0,1,1,0,0,0,0,1,0,0,0
mn akr btata hn kiya krna hy tm wait kro,0,0,0,0,1,0,0,0,0,0,0,0
Ida mai vela ni,0,0,0,0,1,0,0,0,0,0,0,0
Bike pa ho k padel,0,1,0,0,1,0,0,0,0,0,0,0
tm dono mje confuse krahi ho ab...,0,0,0,0,1,0,0,0,0,0,0,0
Sath ghar b ao aunty ki taraf ja k mama sy bat krty hn,0,1,0,0,1,0,0,0,0,0,0,0
Battery kam hai ja k bt krti,0,0,0,0,1,0,0,0,0,0,0,0
Abi nai kal jaun ga na,0,0,0,0,0,1,0,0,0,0,0,0
chl phr ma b wait kr rha hn try reply ka.,0,1,0,0,0,1,0,0,0,0,0,0
chl phr ma b wait kr rha hn try reply ka.,0,0,0,0,0,1,0,0,0,0,0,0
"Hy , chali gai ho hostal se ya abi nai",0,0,0,0,0,1,0,0,0,0,0,0
Tu Bakra la Aya,0,0,0,0,0,0,1,0,0,0,0,0
No i said her baad main baat karongi ,0,0,0,0,0,0,1,0,0,0,0,0
Ha bhai kia scene ha koi kam chala?,0,0,0,0,0,0,1,0,0,0,0,0
Ok ma cheak karta ho,0,0,0,0,0,0,1,0,0,0,0,0
Dep jana sa pahla mje bta dana w8 kr rae hn,0,0,0,0,0,0,1,0,0,0,0,0
We are playing cricut,0,0,0,0,0,0,1,0,0,0,0,0
No me in hostel... n sabeeha ready ho rahi hai,0,0,0,0,0,0,1,0,0,0,0,0
Mazak ker rhi hi,0,0,0,0,0,0,0,1,0,0,0,0
G mry bhai ghr hon,0,0,0,0,1,0,0,1,0,0,0,0
Ni next week sahi jb a jayu gi,0,0,0,0,0,0,0,1,0,0,0,0
ROK jaa poch ke batata hn Mein free hon aja Uni jana hai? Raat tak batata hn abhi office mein hn Ajaounga kal mein. Baat krli hai ,0,0,0,0,0,0,0,1,0,0,0,0
ROK jaa poch ke batata hn Mein free hon aja Uni jana hai? Raat tak batata hn abhi office mein hn Ajaounga kal mein. Baat krli hai ,0,0,0,0,0,0,0,1,0,0,0,0
Main shadi py ja rah hun Cl Cal plz Jan ??slam o alikum Kia Hal h Kia Hal h uzms Aur ni tazi,0,0,0,0,0,0,0,1,0,0,0,0
"Lays bada wala, milo and ors ?? Ha haaaaa thankyou thankyou ?? ?? Tortilla wraps thy but sehri k liye kuch ni tou maine usky liye save kar liye and abhi junks kha liye",0,0,0,0,0,0,0,0,1,0,0,0
OK Raja bhya....koi masla Nahi Sorry dear.... Ya shikwa tu hum app say karne wale thay Mar gya.... Ha ha... Raja bhya accept appology on the behalf of Lala g... Really sorry.????,0,0,0,0,0,0,0,0,1,0,0,0
Wo tu mujhe pata hai ke ap ko nehi pata magar kisi or se poach lein mere kyal se waqar ne kia ho ga 3 CODE the jis mein aik palindrone wala bhi tha mujhe bus aik chaheye hex input to binary output wala,0,0,0,0,0,0,0,0,1,0,0,0
Sir ap k hostel wala na 15000 rupes lia kahta ha zurhat ha subha mas chalna ha phir ap ko wapas kar da gaa,0,0,0,0,0,0,0,0,1,0,0,0
Gusay ki english batana anger key alawa Rehne dein mill gaya word Ok AH bro and thanx,0,0,0,0,0,0,0,0,1,0,0,0
Kitne bjhe aye ga 10 ko bjhe ajana Kal mera practical hai 1 bjhe Or phir wapas b jana hai ,0,0,0,0,0,0,0,0,1,0,0,0
It means  Send Mera bhai mujhe kitna janta hai mein ne bejhna tha per nehi bhejh saki bro,0,0,0,0,0,0,0,0,0,1,0,0
Yrr mater wala kam wo log ni manta ha kahta ha 10500 par head lay loo Yr mana jwo 500 soo ki kaya bat ha ,0,0,0,0,0,0,0,0,0,1,0,0
Hahahahaha kru kru Bhae ?? Han instal Krana tha Software us k chakr mein wrna acha bhla ghr hoty aj ??,0,0,0,0,0,0,0,0,0,1,0,0
Mera Bestival Ka scene miss hai. Kiunke mama baba raat ko wapis Nigeria Jaa rhay hain toh kafi kaam ghar mein ,0,0,0,0,0,0,0,0,0,1,0,0
"Kehna bht khwaar ho k aya Hun Field se ab tu Accredation de den ?? 2,3 selfies aur video bna lo Ya wahan se 2,4 mazdoor sath le ao ??",0,0,0,0,0,0,0,0,0,1,0,0
Bhai apnay bataya nai? Bhai mein rastay mein Play on Jaa rha Saad bhai bhee Kal keh rhay thay ke mein bhee aoun ga football khelne aap logo ke sath play on.,0,0,0,0,0,0,0,0,0,1,0,0
Pehly tm btao aj kal koi msla hai ?? Tm awein hi chup nahi hoty aj kal hansna bolna kam hai tmara btao kia baat hai,0,1,0,0,0,0,0,0,0,0,1,0
Subha consecutive lectures till 5.30 from 11.30 But mein try karun ga aa jaoun for match Ok Bhai Abhee tak Konsa msg forward karna? Coming?,0,1,0,0,0,0,0,0,0,0,1,0
